speciesName,status,SpecCode,validName,class,order,family,genus,commonName,commonSpecies,C_Code,country,database,databaseVersion
Chlamydoselache anguinea,synonym,635,Chlamydoselachus anguineus,Elasmobranchii,Hexanchiformes,Chlamydoselachidae,Chlamydoselachus,Frilled shark,TRUE,826,UK,fishbase,24.07
Chlamydoselachus anguineum,synonym,635,Chlamydoselachus anguineus,Elasmobranchii,Hexanchiformes,Chlamydoselachidae,Chlamydoselachus,Frilled shark,TRUE,826,UK,fishbase,24.07
Didymodus anguineus,synonym,635,Chlamydoselachus anguineus,Elasmobranchii,Hexanchiformes,Chlamydoselachidae,Chlamydoselachus,Frilled shark,TRUE,826,UK,fishbase,24.07
Heptranchias perlo,accepted name,636,Heptranchias perlo,Elasmobranchii,Hexanchiformes,Hexanchidae,Heptranchias,Sharpnose sevengill shark,TRUE,826,UK,fishbase,24.07
Heptranchias angio,synonym,636,Heptranchias perlo,Elasmobranchii,Hexanchiformes,Hexanchidae,Heptranchias,Sharpnose sevengill shark,TRUE,826,UK,fishbase,24.07
Heptranchias cinereus,synonym,636,Heptranchias perlo,Elasmobranchii,Hexanchiformes,Hexanchidae,Heptranchias,Sharpnose sevengill shark,TRUE,826,UK,fishbase,24.07
Heptranchias dakini,synonym,636,Heptranchias perlo,Elasmobranchii,Hexanchiformes,Hexanchidae,Heptranchias,Sharpnose sevengill shark,TRUE,826,UK,fishbase,24.07
Heptranchias deani,synonym,636,Heptranchias perlo,Elasmobranchii,Hexanchiformes,Hexanchidae,Heptranchias,Sharpnose sevengill shark,TRUE,826,UK,fishbase,24.07
Heptranchus perlo,synonym,636,Heptranchias perlo,Elasmobranchii,Hexanchiformes,Hexanchidae,Heptranchias,Sharpnose sevengill shark,TRUE,826,UK,fishbase,24.07
Heptrancus angio,synonym,636,Heptranchias perlo,Elasmobranchii,Hexanchiformes,Hexanchidae,Heptranchias,Sharpnose sevengill shark,TRUE,826,UK,fishbase,24.07
Notidanus cinereus,synonym,636,Heptranchias perlo,Elasmobranchii,Hexanchiformes,Hexanchidae,Heptranchias,Sharpnose sevengill shark,TRUE,826,UK,fishbase,24.07
Notidanus cinereus pristiurus,synonym,636,Heptranchias perlo,Elasmobranchii,Hexanchiformes,Hexanchidae,Heptranchias,Sharpnose sevengill shark,TRUE,826,UK,fishbase,24.07
Squalus cinereus,synonym,636,Heptranchias perlo,Elasmobranchii,Hexanchiformes,Hexanchidae,Heptranchias,Sharpnose sevengill shark,TRUE,826,UK,fishbase,24.07
Squalus perlo,synonym,636,Heptranchias perlo,Elasmobranchii,Hexanchiformes,Hexanchidae,Heptranchias,Sharpnose sevengill shark,TRUE,826,UK,fishbase,24.07
Hexanchus griseus,accepted name,637,Hexanchus griseus,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,Bluntnose sixgill shark,TRUE,056,Belgium,fishbase,24.07
Hexanchus corinum,synonym,637,Hexanchus griseus,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,Bluntnose sixgill shark,TRUE,056,Belgium,fishbase,24.07
Hexanchus corinus,synonym,637,Hexanchus griseus,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,Bluntnose sixgill shark,TRUE,056,Belgium,fishbase,24.07
Hexanchus griseus australis,synonym,637,Hexanchus griseus,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,Bluntnose sixgill shark,TRUE,056,Belgium,fishbase,24.07
Monopterinus griseus,synonym,637,Hexanchus griseus,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,Bluntnose sixgill shark,TRUE,056,Belgium,fishbase,24.07
Notidanus griseus,synonym,637,Hexanchus griseus,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,Bluntnose sixgill shark,TRUE,056,Belgium,fishbase,24.07
Notidanus monge,synonym,637,Hexanchus griseus,Elasmobranchii,Hexanchiformes,Hexanchidae,Hexanchus,Bluntnose sixgill shark,TRUE,056,Belgium,fishbase,24.07
